,normalization_fn,normalization_nu_fn,reg_fn_alpha,reg_fn_logmin,batch_size,length_cutoff_factor,initial_flow,learning_rate,number_epoch,step_per_epoch,B_beta,path_redraw,neighborhood,ExpectedReward,size,generators,reward_fn,heuristic_fn,initial_position
60,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0118063027863236,0,0,0.6601150631904602,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
61,1,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0027095008121534,0,0,0.6522001028060913,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
62,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0046479588383391,0,0,0.6552761197090149,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
63,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0306622285741813,0,0,0.642555296421051,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
64,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1057758243898859,0,0,0.921608567237854,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
65,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.001693632121952,0,0,0.3480891287326813,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
66,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0249370465323502,0,0,0.8175828456878662,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
67,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0089652921208079,0,0,0.3282094597816467,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
68,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0031619156316802,0,0,0.6302095651626587,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
69,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0096342813392609,0,0,0.6312158107757568,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
70,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0427361689129454,0,0,0.8822394609451294,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
71,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0077884012578805,0,0,0.3164106607437134,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
72,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0363129766971225,0,0,0.8312525153160095,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
73,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0163438037185449,0,0,0.6450353860855103,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
74,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1077890212819362,0,0,0.6629253625869751,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
75,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0717062227062094,0,0,0.8969616889953613,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
76,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0356748831278944,0,0,0.691882312297821,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
77,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0071736045880214,0,0,0.7105404138565063,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
78,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0115743030718918,0,0,0.5464119911193848,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
79,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.1311866325762574,0,0,0.7257746458053589,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
80,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.001693632121952,0,0,0.6426389217376709,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
81,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.012625372421292,0,0,0.6807167530059814,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
82,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0103050648892478,0,0,0.3495434522628784,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
83,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0326875174450261,0,0,0.6508364677429199,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
84,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0009535471278134,0,0,0.6523325443267822,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
85,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0078957884442649,0,0,0.6687279343605042,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
86,2,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0009199341885722,0,0,0.6175290942192078,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
87,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0176189054476573,0,0,0.6608982086181641,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
88,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0031619156316802,0,0,0.6700167655944824,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
89,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0027095008121534,0,0,0.6198434829711914,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
90,3,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0046479588383391,0,0,0.3710934817790985,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
91,1,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0046479588383391,0,0,0.6416329741477966,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
92,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.021166834910735,0,0,0.7534955739974976,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
93,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0043621940933273,0,0,0.684934139251709,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
94,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0158508750918349,0,0,0.6671757698059082,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
95,3,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0011256254181127,0,0,0.3317171633243561,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
96,2,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0103050648892478,0,0,0.6713196635246277,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
97,0,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0044669610275158,0,0,0.6762690544128418,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
98,0,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0089652921208079,0,0,0.7020098567008972,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
99,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0024154560747153,0,0,0.6524364352226257,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
100,4,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.012964505485597,0,0,0.5889612436294556,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
101,2,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0247487081353682,0,0,0.6696599125862122,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
102,0,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0009321676824788,0,0,0.6573678851127625,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
103,4,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0088164679853522,0,0,0.6461784839630127,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
104,1,0,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0247487081353682,0,0,0.6754450798034668,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
105,3,1,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0904226067836271,0,0,0.34703329205513,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
106,1,2,-100.0,20.0,512.0,3.0,0.001,0.001,10.0,10.0,0.0158508750918349,0,0,0.6620708107948303,10,transpositions,"TwistedManhattan(SIZE,width=1,scale=-100,factor=1)",R_zero(),SymmetricUniform(SIZE)
